asof_dt,Name,Sector,ret,w_p,w_bm
1/1/2014,GENERAL MOTORS,Consumer Discretionary,0.00430,0.04380,0.02220
1/1/2014,HOME DEPOT,Consumer Discretionary,-0.02130,0.05700,0.00820
1/1/2014,MCDONALD'S,Consumer Discretionary,0.00430,0.01080,0.05310
1/1/2014,WALMART,Consumer Discretionary,0.01610,0.03160,0.02740
1/1/2014,DISNEY (WALT),Consumer Discretionary,-0.07000,0.04880,0.03090
1/1/2014,COCA-COLA,Consumer Staples,0.04290,0.00810,0.01260
1/1/2014,KRAFT FOODS,Consumer Staples,-0.08650,0.02260,0.04260
1/1/2014,PROCTER & GAMBLE,Consumer Staples,-0.03410,0.01020,0.00930
1/1/2014,CHEVRON,Energy,-0.00380,0.03050,0.02630
1/1/2014,EXXONMOBIL,Energy,-0.00950,0.00120,0.02100
1/1/2014,AMER EXPRESS,Financials,0.00990,0.03550,0.03210
1/1/2014,BANK OF AMERICA,Financials,-0.07740,0.03010,0.00520
1/1/2014,CITIGROUP,Financials,-0.09730,0.00960,0.01600
1/1/2014,JPMORGAN CHASE & CO,Financials,-0.04420,0.01230,0.04800
1/1/2014,JOHNSON & JOHNSON,Health Care,-0.09560,0.02140,0.03190
1/1/2014,MERCK & CO.,Health Care,-0.05940,0.01580,0.03620
1/1/2014,PFIZER,Health Care,-0.02710,0.04520,0.04520
1/1/2014,3M COMPANY,Industrials,-0.01840,0.03740,0.03620
1/1/2014,BOEING,Industrials,0.08560,0.03300,0.03670
1/1/2014,CATERPILLAR,Industrials,-0.04120,0.03930,0.01460
1/1/2014,GENERAL ELECTRIC,Industrials,-0.03180,0.03110,0.01580
1/1/2014,UNITED TECHNOLOGIES,Industrials,-0.05640,0.05450,0.05550
1/1/2014,HEWLETT-PACKARD,Information Technology,-0.05750,0.02140,0.04170
1/1/2014,INTEL,Information Technology,0.06100,0.01280,0.00800
1/1/2014,INT'L BUSINESS MACH,Information Technology,-0.08830,0.04380,0.00490
1/1/2014,MICROSOFT,Information Technology,-0.00100,0.01110,0.01030
1/1/2014,ALCOA,Materials,-0.09420,0.04110,0.00410
1/1/2014,DUPONT,Materials,-0.04160,0.05340,0.02910
