shopper_id,total_bill_usd,asof_dt
@@,4.072119538,9/1/2015
@@,2.854534089,9/2/2015
@@,4.360070738,9/3/2015
@@,4.595160753,9/4/2015
@@,4.338912852,9/4/2015
@@,3.299721721,9/5/2015
@@,4.311096247,9/6/2015
@@,2.033963104,9/6/2015
@@,3.437047171,9/6/2015
@@,2.951142028,9/7/2015
@@,3.398726372,9/7/2015
@@,5.100253146,9/7/2015
@@,3.565550453,9/7/2015
@@,3.209009534,9/7/2015
@@,4.810248223,9/8/2015
@@,2.355044402,9/9/2015
@@,4.11476452,9/9/2015
@@,4.404197086,9/10/2015
@@,3.317876996,9/10/2015
@@,2.608958872,9/10/2015
@@,4.088045348,9/11/2015
@@,3.732200877,9/11/2015
@@,3.925363654,9/11/2015
@@,2.658603918,9/12/2015
@@,3.04448302,9/14/2015
@@,3.232175378,9/15/2015
@@,1.274214728,9/17/2015
@@,3.509426332,9/17/2015
@@,4.391117554,9/19/2015
@@,3.873500493,9/19/2015
@@,3.932452941,9/19/2015
@@,3.645018863,9/20/2015
@@,2.888127881,9/20/2015
@@,3.886801889,9/21/2015
@@,4.190924476,9/22/2015
@@,2.555018869,9/22/2015
@@,4.137792806,9/22/2015
@@,3.742752779,9/23/2015
@@,4.869566251,9/23/2015
@@,3.992458426,9/23/2015
@@,4.23851568,9/23/2015
@@,1.654389676,9/24/2015
@@,4.419903659,9/24/2015
@@,5.100114424,9/24/2015
@@,3.035349104,9/24/2015
@@,3.817013241,9/24/2015
@@,3.858366882,9/24/2015
@@,2.578994357,9/24/2015
@@,2.19665813,9/24/2015
@@,3.34989393,9/24/2015
@@,3.886587534,9/24/2015
@@,4.982344814,9/25/2015
@@,4.589746705,9/25/2015
@@,4.116413287,9/25/2015
@@,4.044464192,9/25/2015
@@,1.306039333,9/25/2015
@@,2.649131911,9/25/2015
@@,3.661870237,9/26/2015
@@,2.525093811,9/26/2015
@@,2.357953234,9/27/2015
@@,4.750493216,9/27/2015
@@,3.963320512,9/27/2015
@@,1.64869728,9/27/2015
@@,4.496662983,9/27/2015
@@,4.026861364,9/28/2015
@@,3.433466166,9/28/2015
@@,4.156410321,9/28/2015
@@,3.56826186,9/28/2015
@@,3.088257462,9/29/2015
@@,4.930503742,9/30/2015
@@,5.015175734,9/30/2015
@@,3.250506417,9/30/2015
@@,3.122789986,9/30/2015
@@,4.024113272,10/1/2015
@@,2.640842634,10/2/2015
@@,2.728222103,10/2/2015
@@,4.276182608,10/2/2015
@@,3.684980289,10/2/2015
@@,5.083732378,10/3/2015
@@,2.251799641,10/6/2015
@@,4.667489832,10/6/2015
@@,2.93600161,10/7/2015
@@,2.721011625,10/7/2015
@@,4.335045491,10/7/2015
@@,3.144108535,10/8/2015
@@,1.745201928,10/8/2015
@@,2.400441322,10/8/2015
@@,2.105323626,10/9/2015
@@,5.2794353,10/9/2015
@@,2.95220209,10/9/2015
@@,5.593683641,10/10/2015
@@,4.197124796,10/10/2015
@@,3.822836731,10/11/2015
@@,4.442060441,10/12/2015
@@,3.808504657,10/12/2015
@@,4.358666803,10/13/2015
@@,3.57573004,10/13/2015
@@,1.881955181,10/13/2015
@@,4.170578175,10/14/2015
@@,3.748373119,10/15/2015
@@,5.00805451,10/15/2015
@@,2.612734035,10/15/2015
@@,3.132435701,10/15/2015
@@,2.063379833,10/16/2015
@@,2.95224802,10/16/2015
@@,2.684941997,10/16/2015
@@,4.698731898,10/16/2015
@@,1.449156852,10/17/2015
@@,4.859982758,10/17/2015
@@,3.585904849,10/17/2015
@@,3.945532411,10/17/2015
@@,1.422667939,10/18/2015
@@,4.78070069,10/18/2015
@@,4.062327622,10/18/2015
@@,3.299229422,10/18/2015
@@,2.001735536,10/19/2015
@@,1.90173701,10/19/2015
@@,3.357357627,11/3/2015
@@,2.349745284,11/3/2015
@@,3.404753848,11/3/2015
@@,3.210225804,11/5/2015
@@,2.757861158,11/5/2015
@@,4.158328373,11/6/2015
@@,3.459858562,11/6/2015
@@,2.518786154,11/9/2015
@@,3.424393832,11/10/2015
@@,2.542910161,11/10/2015
@@,3.483223974,11/10/2015
@@,3.080238445,11/10/2015
@@,3.439323128,11/11/2015
@@,3.820425721,11/11/2015
@@,3.570591438,11/11/2015
@@,3.990721113,11/12/2015
@@,3.396091822,11/12/2015
@@,5.086058782,11/12/2015
@@,2.772743423,11/12/2015
@@,3.046664181,11/12/2015
@@,2.692165244,11/12/2015
@@,4.176967367,11/12/2015
@@,4.269856036,11/12/2015
@@,3.485009252,11/13/2015
@@,3.664633167,11/13/2015
@@,3.777125282,11/13/2015
@@,3.562666551,11/13/2015
@@,3.294634828,11/13/2015
@@,3.155288283,11/13/2015
@@,2.628534849,11/14/2015
@@,4.149006195,11/14/2015
@@,3.558440332,11/14/2015
@@,2.482052397,11/14/2015
@@,4.131431912,11/14/2015
@@,3.774951908,11/14/2015
@@,3.275678237,11/14/2015
@@,4.74727883,11/14/2015
@@,2.511686843,11/15/2015
@@,3.72546912,11/15/2015
@@,4.418281185,11/15/2015
@@,5.635316734,11/15/2015
@@,1.970043824,11/16/2015
@@,3.77890864,11/16/2015
@@,4.469548782,11/16/2015
@@,3.023285916,11/16/2015
@@,4.81982006,11/16/2015
@@,2.894631698,11/16/2015
@@,5.4266997,11/17/2015
@@,3.059337435,11/17/2015
@@,4.928627966,11/17/2015
@@,4.150669354,11/17/2015
@@,3.08934825,11/17/2015
@@,2.549962472,11/18/2015
@@,3.926553133,11/18/2015
@@,3.509483463,11/18/2015
@@,3.834551056,11/18/2015
@@,1.310202822,11/19/2015
@@,3.912772978,11/19/2015
@@,3.128699251,11/19/2015
@@,4.259941427,11/19/2015
@@,4.473003022,11/19/2015
@@,4.463548109,11/19/2015
@@,2.782628515,11/19/2015
@@,3.591642996,11/19/2015
@@,2.444569481,11/20/2015
@@,2.757046073,11/20/2015
@@,4.243116238,11/20/2015
@@,2.300162211,11/20/2015
@@,4.100825603,11/20/2015
@@,3.339170871,11/20/2015
@@,3.830657512,11/20/2015
@@,2.240569844,11/20/2015
@@,4.12772312,11/21/2015
@@,5.393060552,11/21/2015
@@,3.683561287,11/21/2015
@@,2.894881186,11/21/2015
@@,3.042271413,11/21/2015
@@,2.904812042,11/21/2015
@@,3.187508821,11/21/2015
@@,4.371914785,11/22/2015
@@,2.488416563,11/22/2015
@@,5.984768348,11/22/2015
@@,4.427239312,11/22/2015
@@,4.097878332,11/22/2015
@@,1.681578536,11/22/2015
@@,2.748987834,11/22/2015
@@,4.917127627,11/22/2015
@@,2.374872291,11/23/2015
@@,3.200976201,11/23/2015
@@,2.812810621,11/23/2015
@@,4.075054536,11/23/2015
@@,2.494640395,11/23/2015
@@,5.318802257,11/23/2015
@@,3.197960035,11/23/2015
@@,4.493281725,11/23/2015
@A,2.073395947,9/4/2015
@A,6.541064101,9/5/2015
@A,4.7190465,9/5/2015
@A,4.728679171,9/1/2015
@A,4.061870198,9/1/2015
@A,5.358680684,9/4/2015
@A,2.051370908,9/4/2015
@A,3.608921062,9/6/2015
@A,4.347685472,9/2/2015
@A,2.376853168,9/1/2015
@A,3.874796594,9/4/2015
@A,2.814443787,9/6/2015
@A,3.433375589,9/5/2015
@A,2.079819509,9/3/2015
@A,4.655339833,9/3/2015
@A,3.469788033,9/5/2015
@A,2.328927339,9/4/2015
@A,3.570589643,9/6/2015
@A,2.389289797,9/3/2015
@A,3.643906409,9/2/2015
@A,2.990858551,9/1/2015
@A,4.135343637,9/4/2015
@A,1.720888728,9/7/2015
@A,4.499734832,9/6/2015
@A,4.108532697,9/2/2015
@A,3.266969007,9/2/2015
@A,3.98227568,9/3/2015
@A,4.114719851,9/5/2015
@A,2.575465473,9/7/2015
@A,4.281456737,9/3/2015
@A,2.453054442,9/5/2015
@A,5.090074297,9/1/2015
@A,5.041530838,9/7/2015
@A,2.593699944,9/1/2015
@A,4.049318525,9/1/2015
@A,4.00701898,9/2/2015
@A,3.552399944,9/7/2015
@A,4.245444364,9/3/2015
@A,3.402384837,9/6/2015
@A,3.889713507,9/5/2015
@A,4.430803833,9/3/2015
@A,4.363411295,9/1/2015
@A,2.455292719,9/1/2015
@A,2.718335967,9/3/2015
@A,4.112295049,9/5/2015
@A,2.988520436,9/7/2015
@A,3.996427064,9/5/2015
@A,4.952237658,9/7/2015
@A,4.513467568,9/4/2015
@A,4.044542886,9/7/2015
@A,2.038349396,9/6/2015
@A,2.959798694,9/4/2015
@A,4.782290157,9/3/2015
@A,3.206236804,9/7/2015
@A,5.188781445,9/1/2015
@A,3.519877265,9/3/2015
@A,2.595094429,9/3/2015
@A,2.579314015,9/2/2015
@A,2.987377293,9/6/2015
@A,3.16009471,9/3/2015
@A,3.599618396,9/7/2015
@A,2.01696784,9/5/2015
@A,3.763947158,9/7/2015
@A,5.269119052,9/1/2015
@A,3.35134421,9/7/2015
@A,3.34731311,9/5/2015
@A,3.207015355,9/4/2015
@A,4.003814108,9/3/2015
@A,3.228396357,9/6/2015
@A,4.653391698,9/2/2015
@A,2.582930804,9/2/2015
@A,5.745194523,9/6/2015
@A,2.957858032,9/4/2015
@A,2.63100955,9/2/2015
@A,1.627272287,9/6/2015
@A,2.969999682,9/4/2015
@A,2.25360908,9/2/2015
@A,4.285219452,9/2/2015
@A,2.870925249,9/3/2015
@A,1.60743073,9/6/2015
@A,1.380195695,9/2/2015
@A,2.664500725,9/4/2015
@A,5.153361349,9/2/2015
@A,5.187260629,9/3/2015
@A,2.564418099,9/5/2015
@A,3.657983202,9/2/2015
@A,4.397713925,9/6/2015
@A,4.595100415,9/3/2015
@A,3.299867127,9/2/2015
@A,3.140821286,9/6/2015
@A,3.722848271,9/3/2015
@A,2.488178843,9/5/2015
@A,3.44525593,9/1/2015
@A,2.394431859,9/4/2015
@A,2.697718112,9/4/2015
@A,1.398207576,9/5/2015
@A,3.801257108,9/5/2015
@A,3.561948653,9/5/2015
@A,3.880196346,9/5/2015
@A,4.804200501,9/6/2015
@A,4.425523435,9/4/2015
@A,4.293354867,9/9/2015
@A,2.434341773,9/11/2015
@A,3.831359195,9/14/2015
@A,3.064287322,9/8/2015
@A,3.304680094,9/8/2015
@A,4.683093743,9/8/2015
@A,4.270322037,9/9/2015
@A,3.839175577,9/8/2015
@A,3.835406735,9/8/2015
@A,3.614475643,9/11/2015
@A,5.380710303,9/13/2015
@A,2.499265547,9/9/2015
@A,3.208980116,9/14/2015
@A,2.084066951,9/9/2015
@A,2.1446737,9/14/2015
@A,3.904683374,9/11/2015
@A,2.967721368,9/11/2015
@A,4.886742975,9/13/2015
@A,3.605780395,9/9/2015
@A,2.4868687,9/14/2015
@A,3.083973424,9/14/2015
@A,3.678588103,9/14/2015
@A,3.005564636,9/12/2015
@A,3.941443835,9/9/2015
@A,1.616948874,9/14/2015
@A,3.83124845,9/10/2015
@A,2.81680693,9/10/2015
@A,4.272003945,9/10/2015
@A,3.652656963,9/10/2015
@A,4.852215826,9/11/2015
@A,3.501823979,9/11/2015
@A,2.705059164,9/9/2015
@A,4.471738417,9/13/2015
@A,3.019362553,9/12/2015
@A,3.56022948,9/8/2015
@A,4.966898045,9/13/2015
@A,5.112162858,9/8/2015
@A,4.459510162,9/12/2015
@A,4.710123886,9/10/2015
@A,3.72625314,9/8/2015
@A,3.133200871,9/14/2015
@A,5.329898064,9/11/2015
@A,2.969938955,9/13/2015
@A,4.051799031,9/14/2015
@A,3.123950582,9/14/2015
@A,4.298985047,9/8/2015
@A,4.309329257,9/14/2015
@A,3.35320191,9/11/2015
@A,2.553154486,9/13/2015
@A,4.833791935,9/13/2015
@A,4.316006654,9/11/2015
@A,3.521360939,9/9/2015
@A,4.501722136,9/9/2015
@A,4.607252857,9/11/2015
@A,3.918780605,9/13/2015
@A,3.958605407,9/8/2015
@A,2.227461477,9/8/2015
@A,1.743401824,9/13/2015
@A,4.232971382,9/18/2015
@A,4.699034787,9/16/2015
@A,4.382827958,9/21/2015
@A,3.196475154,9/19/2015
@A,5.234237098,9/19/2015
@A,4.955695689,9/18/2015
@A,2.669163815,9/18/2015
@A,4.951452466,9/16/2015
@A,5.368576214,9/16/2015
@A,3.987127871,9/17/2015
@A,2.372022442,9/18/2015
@A,4.528142814,9/16/2015
@A,3.250280396,9/19/2015
@A,5.15845038,9/20/2015
@A,4.109906533,9/16/2015
@A,2.469321752,9/18/2015
@A,2.05731676,9/15/2015
@A,4.705181812,9/17/2015
@A,2.913231678,9/16/2015
@A,3.727457309,9/16/2015
@A,3.147842967,9/18/2015
@A,3.596978615,9/17/2015
@A,2.130450289,9/17/2015
@A,4.794709623,9/17/2015
@A,4.781564171,9/21/2015
@A,4.874306373,9/18/2015
@A,3.679912403,9/18/2015
@A,3.058462869,9/15/2015
@A,4.757536044,9/18/2015
@A,1.489546449,9/20/2015
@A,3.706745807,9/19/2015
@A,2.635552011,9/16/2015
@A,4.050013836,9/19/2015
@A,3.796271434,9/18/2015
@A,5.914135824,9/20/2015
@A,1.322781296,9/18/2015
@A,3.433552187,9/15/2015
@A,3.094431542,9/18/2015
@A,3.104263544,9/19/2015
@A,5.076691472,9/17/2015
@A,3.114745996,9/16/2015
@A,3.405039922,9/20/2015
@A,5.259340119,9/15/2015
@A,4.611673971,9/18/2015
@A,3.145854046,9/15/2015
@A,3.604066168,9/28/2015
@A,5.205520037,9/28/2015
@A,4.484606515,9/26/2015
@A,2.613953065,9/26/2015
@A,1.525473519,9/24/2015
@A,2.660189707,9/25/2015
@A,2.18614705,9/23/2015
@A,4.200729977,9/26/2015
@A,4.410200591,9/23/2015
@A,4.792791856,9/23/2015
@A,3.007531933,9/27/2015
@A,2.910025367,9/28/2015
@A,4.746781635,9/25/2015
@A,2.731260469,9/25/2015
@A,4.604637927,9/23/2015
@A,4.650634503,9/25/2015
@A,3.900947734,9/25/2015
@A,3.309681012,9/24/2015
@A,2.222908681,9/23/2015
@A,2.940325805,9/28/2015
@A,2.803714612,9/22/2015
@A,2.609259269,9/27/2015
@A,5.071978436,9/24/2015
@A,4.041216371,9/28/2015
@A,4.45326756,9/25/2015
@A,3.727215512,9/24/2015
@A,3.658514744,9/23/2015
@A,2.814290771,9/25/2015
@A,2.682212475,9/28/2015
@A,3.767795455,9/28/2015
@A,2.170015049,9/27/2015
@A,3.236609197,9/27/2015
@A,3.905181799,9/25/2015
@A,4.834708015,9/23/2015
@A,1.940133016,9/24/2015
@A,5.513280665,9/22/2015
@A,2.089515093,9/22/2015
@A,4.572801094,9/28/2015
@A,5.003811663,9/25/2015
@A,4.225561241,9/22/2015
@A,4.693546441,9/28/2015
@A,4.680935768,9/28/2015
@A,4.800087008,9/22/2015
@A,3.84851111,9/25/2015
@A,1.749419623,9/27/2015
@A,2.554805899,9/25/2015
@A,2.574501869,9/24/2015
@A,3.650308257,9/24/2015
